doc_id,entity,label,frequency
nyasatimes_88,Illovo Sugar Malawi-,ORG,1
nyasatimes_88,Nchalo Estate Marc Pousson,ORG,1
nyasatimes_88,10 tons,QUANTITY,1
nyasatimes_88,100,CARDINAL,1
nyasatimes_88,one,CARDINAL,1
nyasatimes_88,FES,ORG,1
nyasatimes_88,Malawi Red Cross,ORG,1
nyasatimes_88,Paramount,ORG,1
nyasatimes_88,Illovo,ORG,1
nyasatimes_88,Paramount Lundu,PERSON,1
nyasatimes_88,Total,ORG,1
nyasatimes_88,K2 million,CARDINAL,1
nyasatimes_88,Farm Engineering Services,ORG,1
nyasatimes_62,Chipasula,PERSON,2
nyasatimes_62,Lilongwe,GPE,2
nyasatimes_62,HRDC,ORG,2
nyasatimes_62,Kawale,GPE,2
nyasatimes_62,Human Rights Defenders Coalition,ORG,1
nyasatimes_62,Chipasula,GPE,1
nyasatimes_62,Timothy Mtambo,PERSON,1
nyasatimes_62,the floods year,DATE,1
nyasatimes_62,year,DATE,1
nyasatimes_62,Mtambo,ORG,1
nyasatimes_62,HRDC Gift Trapence,ORG,1
nyasatimes_62,500,CARDINAL,1
nyasatimes_62,Biwi,ORG,1
nyasatimes_62,22,CARDINAL,1
malawi24_24,six,CARDINAL,3
malawi24_24,Chikwawa,PERSON,1
malawi24_24,Constable Foster Benjamin,ORG,1
malawi24_24,one,CARDINAL,1
malawi24_24,a Health Surveillance Assistant,ORG,1
malawi24_24,two,CARDINAL,1
malawi24_24,Livunzu River,LOC,1
malawi24_24,Wednesday evening,TIME,1
malawi24_24,Maperera Health Centre,FAC,1
malawi24_24,Nkhathe River,LOC,1
malawi24_24,East Bank,GPE,1
malawi24_24,Khongono,LOC,1
malawi24_24,Traditional Authority Changata,ORG,1
malawi24_24,Thyolo,GPE,1
malawi24_24,Thyolo,ORG,1
malawi24_24,35-year-old,DATE,1
malawi24_24,Alice Kalikokha,PERSON,1
malawi24_24,6-year-old,DATE,1
malawi24_24,Traditional Authority Maseya’s,ORG,1
malawi24_26,Kanache,ORG,3
malawi24_26,Blantyre Press Club,ORG,2
malawi24_26,thousands,CARDINAL,2
malawi24_26,The Blantyre Press Club,ORG,1
malawi24_26,this Friday,DATE,1
malawi24_26,Blantyre,GPE,1
malawi24_26,Chikwawa,GPE,1
malawi24_26,Blessings Kanache,PERSON,1
malawi24_26,15,CARDINAL,1
malawi24_26,Malawian,NORP,1
malawi24_26,Chikwawa,LOC,1
malawi24_26,Chikwawa,PERSON,1
malawi24_26,Nsanje,ORG,1
malawi24_26,Blantyre,PERSON,1
malawi24_26,Mibawa Multi,PERSON,1
malawi24_26,Limbe,GPE,1
malawi24_26,K2500,NORP,1
malawi24_26,Malawi,ORG,1
malawi24_26,The Black Missionaries,ORG,1
malawi24_26,the Malawi Red Cross,ORG,1
malawi24_26,Friday,DATE,1
nyasatimes_60,Nsanje,GPE,2
nyasatimes_60,Nyachikadza,PERSON,2
nyasatimes_60,Lower Shire,GPE,1
nyasatimes_60,two,CARDINAL,1
nyasatimes_60,One,CARDINAL,1
nyasatimes_60,Malemia,PERSON,1
nyasatimes_60,Nsanje,ORG,1
nyasatimes_60,At least 500,CARDINAL,1
nyasatimes_48,Balaka,GPE,4
nyasatimes_48,two,CARDINAL,4
nyasatimes_48,Mangochi,GPE,3
nyasatimes_48,Friday,DATE,3
nyasatimes_48,Sunday,DATE,3
nyasatimes_48,Balaka District,LOC,2
nyasatimes_48,three,CARDINAL,2
nyasatimes_48,2,CARDINAL,1
nyasatimes_48,two year old,DATE,1
nyasatimes_48,evening,TIME,1
nyasatimes_48,the past five days,DATE,1
nyasatimes_48,Dorothy Mauwa,PERSON,1
nyasatimes_48,28,DATE,1
nyasatimes_48,Emmanuella Bwekere,ORG,1
nyasatimes_48,10 pm,TIME,1
nyasatimes_48,Mauwa,PERSON,1
nyasatimes_48,Thursday,DATE,1
nyasatimes_48,this day,DATE,1
nyasatimes_48,around 10 pm,TIME,1
nyasatimes_48,Saturday,DATE,1
nyasatimes_48,Emmanuelle,GPE,1
nyasatimes_48,Samati Village,GPE,1
nyasatimes_48,Traditional Authority,ORG,1
nyasatimes_48,the early hours,TIME,1
nyasatimes_48,Patuma Welemu,ORG,1
nyasatimes_48,53,DATE,1
nyasatimes_48,Rose Ayami,PERSON,1
nyasatimes_48,6,DATE,1
nyasatimes_48,Nsinje Village,GPE,1
nyasatimes_48,Group Village,ORG,1
nyasatimes_48,Headman Michesi,PERSON,1
nyasatimes_48,Mangochi District,LOC,1
nyasatimes_48,the night,TIME,1
nyasatimes_48,Koche Hospital,ORG,1
nyasatimes_48,DC,GPE,1
nyasatimes_48,The Department of Disaster Management Affairs,ORG,1
nyasatimes_48,afternoon,TIME,1
nyasatimes_48,Homeland Security,ORG,1
nyasatimes_48,Nicholas Dausi,PERSON,1
nyasatimes_48,Monday,DATE,1
nyasatimes_48,7:30am,CARDINAL,1
nyasatimes_48,DoDMA Public Relations Officer,ORG,1
nyasatimes_48,Chipiliro Khamula,PERSON,1
nyasatimes_61,Flames,ORG,4
nyasatimes_61,Belgium,GPE,2
nyasatimes_61,Chikwawa,GPE,2
nyasatimes_61,Malawi,PERSON,2
nyasatimes_61,RVG,ORG,2
nyasatimes_61,two,CARDINAL,2
nyasatimes_61,Ronny van Geneugden,PERSON,1
nyasatimes_61,Wednesday,DATE,1
nyasatimes_61,Mwalija,PRODUCT,1
nyasatimes_61,James Sangala,PERSON,1
nyasatimes_61,Geneugden,PERSON,1
nyasatimes_61,some two years ago,DATE,1
nyasatimes_61,Chikwawa District Commissioner,ORG,1
nyasatimes_61,Lusizi Nhlane,PERSON,1
nyasatimes_61,Nhlane,PERSON,1
nyasatimes_61,Innocent Jumbe,PERSON,1
nyasatimes_61,Peter Joseph,PERSON,1
nyasatimes_61,today,DATE,1
nyasatimes_61,Jumbe,PERSON,1
nyasatimes_61,15,000,CARDINAL,1
nyasatimes_61,58,000,CARDINAL,1
nyasatimes_61,37,CARDINAL,1
nyasatimes_61,FAM,ORG,1
nyasatimes_61,this Friday,DATE,1
nyasatimes_61,Belgian,NORP,1
nyasatimes_61,two-year,DATE,1
nyasatimes_61,Malawi,ORG,1
nyasatimes_61,21,CARDINAL,1
nyasatimes_61,eight,CARDINAL,1
nyasatimes_61,11,CARDINAL,1
nyasatimes_61,first,ORDINAL,1
nyasatimes_61,Kenya 0-0,PERSON,1
nyasatimes_61,one and a half years ago,DATE,1
nyasatimes_61,Togo’s Hawks,ORG,1
nyasatimes_75,this week,DATE,3
nyasatimes_75,The Department of Climate Change and Meteorological Services,ORG,1
nyasatimes_75,Jolamu Nkhokwe,PERSON,1
nyasatimes_75,Congo,GPE,1
nyasatimes_75,Nyasa Times,ORG,1
nyasatimes_75,Department of Disaster Management Affairs,ORG,1
nyasatimes_75,Chipiliro Khamula,PERSON,1
nyasatimes_75,Mangochi,GPE,1
nyasatimes_75,Nsanje,GPE,1
nyasatimes_75,Salima,GPE,1
nyasatimes_75,Karonga,GPE,1
nyasatimes_75,Chikwawa,ORG,1
mwnation_32,seven,CARDINAL,3
mwnation_32,Mpama,ORG,3
mwnation_32,Nguludi,NORP,2
mwnation_32,Chiradzulu,GPE,2
mwnation_32,four days,DATE,2
mwnation_32,one,CARDINAL,2
mwnation_32,Fafafa River,LOC,2
mwnation_32,DC,GPE,2
mwnation_32,St Joseph’s Mission
Hospital,ORG,1
mwnation_32,March 7,DATE,1
mwnation_32,Fanny Kazembe,PERSON,1
mwnation_32,Traditional Authority,ORG,1
mwnation_32,Mpama,PERSON,1
mwnation_32,Anne
Chinaima,PERSON,1
mwnation_32,Chiradzulu District
Hospital,ORG,1
mwnation_32,Elizabeth Hospital,ORG,1
mwnation_32,Friday March 8,DATE,1
mwnation_32,Tuesday, March 14,DATE,1
mwnation_32,St
Joseph’s Hospital,PERSON,1
mwnation_32,Sister Mercy Kanyombo,PERSON,1
mwnation_32,Chiradzulu District Hospital,ORG,1
mwnation_32,Chiradzulu
District Hospital,ORG,1
mwnation_32,house,ORG,1
mwnation_32,eight,CARDINAL,1
mwnation_32,Qech,PERSON,1
mwnation_32,Timotheos Foundation at Ntonda,ORG,1
mwnation_32,March 5 to March 8,DATE,1
mwnation_32,17,CARDINAL,1
mwnation_32,28,CARDINAL,1
mwnation_32,370,CARDINAL,1
mwnation_32,922 945,CARDINAL,1
mwnation_32,the middle of the night,DATE,1
mwnation_32,Chiradzulu North,ORG,1
mwnation_32,Chiradzulu Mountain,ORG,1
mwnation_32,maize,PERSON,1
mwnation_32,18-year-old,DATE,1
mwnation_32,About 992,CARDINAL,1
mwnation_32,six,CARDINAL,1
mwnation_32,Chitera,PERSON,1
mwnation_32,Ntchena,ORG,1
mwnation_32,Nkalo,ORG,1
mwnation_32,three,CARDINAL,1
mwnation_32,More than 28 381,CARDINAL,1
mwnation_32,DC) Malango Bottomani,ORG,1
nyasatimes_59,Thyolo,GPE,2
nyasatimes_59,Mutharika,GPE,2
nyasatimes_59,Chikuse,ORG,2
nyasatimes_59,Peter Mutharika,PERSON,1
nyasatimes_59,Wednesday March 20 2019,DATE,1
nyasatimes_59,Molele,PERSON,1
nyasatimes_59,Molele Primary School,ORG,1
nyasatimes_59,Traditional Authority,ORG,1
nyasatimes_59,Up to 91 077,CARDINAL,1
nyasatimes_59,eight,CARDINAL,1
nyasatimes_59,25,CARDINAL,1
nyasatimes_59,59 000,CARDINAL,1
nyasatimes_59,Tuesday,DATE,1
nyasatimes_59,the Social Cash Transfer and the Decent and Affordable Housing Programme,EVENT,1
nyasatimes_59,Chikwawa District,LOC,1
nyasatimes_59,Monday,DATE,1
nyasatimes_59,afternoon,TIME,1
nyasatimes_59,daily,DATE,1
nyasatimes_59,Ministry of Lands, Housing and Urban Development,ORG,1
nyasatimes_59,the Social Cash Transfer,ORG,1
nyasatimes_59,Paramount,ORG,1
nyasatimes_59,every Traditional Authority (TA,ORG,1
nyasatimes_59,Mutharika,PERSON,1
nyasatimes_59,Lilongwe,PERSON,1
nyasatimes_59,today,DATE,1
nyasatimes_59,Lundu,ORG,1
nyasatimes_71,TNM,ORG,5
nyasatimes_71,Malawi Red Cross Society,ORG,3
nyasatimes_71,Malawi,PERSON,2
nyasatimes_71,Red Cross,ORG,2
nyasatimes_71,TNM Plc,ORG,2
nyasatimes_71,Malawi Red Cross,ORG,2
nyasatimes_71,Chisala,PERSON,2
nyasatimes_71,K8.7,ORG,1
nyasatimes_71,ICT,ORG,1
nyasatimes_71,Sobhuza Ngwenya,PERSON,1
nyasatimes_71,the State of Disaster,ORG,1
nyasatimes_71,14,CARDINAL,1
nyasatimes_71,20 kg,QUANTITY,1
nyasatimes_71,4.5,CARDINAL,1
nyasatimes_71,2 litre,QUANTITY,1
nyasatimes_71,2 kg,QUANTITY,1
nyasatimes_71,500,CARDINAL,1
nyasatimes_71,about 2,000,CARDINAL,1
nyasatimes_71,3,CARDINAL,1
nyasatimes_71,Nsanje,GPE,1
nyasatimes_71,Chikwawa,PERSON,1
nyasatimes_71,Ngwenya,ORG,1
nyasatimes_71,The Red Cross,ORG,1
nyasatimes_71,Malawian,NORP,1
nyasatimes_71,Programmes and Development,ORG,1
nyasatimes_71,Prisca Chisala,GPE,1
nyasatimes_71,2015,DATE,1
nyasatimes_71,the Department of Disaster Management Affairs,ORG,1
nyasatimes_71,the Ministry of Homeland Security,ORG,1
nyasatimes_71,56,CARDINAL,1
nyasatimes_71,this week,DATE,1
nyasatimes_71,Mozambique,NORP,1
nyasatimes_71,Cyclone Idai,PRODUCT,1
nyasatimes_65,Malawi,PERSON,3
nyasatimes_65,Tanzania,GPE,2
nyasatimes_65,Malawi,ORG,2
nyasatimes_65,Cyclone Idai,PRODUCT,1
nyasatimes_65,the United Republic of Tanzania,GPE,1
nyasatimes_65,donating 200 metric tons,QUANTITY,1
nyasatimes_65,Friday,DATE,1
nyasatimes_65,Karonga Admarc,PERSON,1
nyasatimes_65,Tanzanian,NORP,1
nyasatimes_65,Benedicto Martin Mashiba,PERSON,1
nyasatimes_65,Peter Mutharika,PERSON,1
nyasatimes_65,March 10,DATE,1
nyasatimes_65,the Southern Region,LOC,1
nyasatimes_65,59,CARDINAL,1
nyasatimes_65,John Pombe,PERSON,1
nyasatimes_65,Magufuli,GPE,1
nyasatimes_65,Mashiba,ORG,1
nyasatimes_65,the Department of Disaster Management Affairs,ORG,1
nyasatimes_65,Levi Manda,PERSON,1
nyasatimes_65,13,CARDINAL,1
nyasatimes_65,more than 400,000,CARDINAL,1
nyasatimes_65,two,CARDINAL,1
nyasatimes_65,Manda,PERSON,1
nyasatimes_65,Paramount,ORG,1
nyasatimes_65,Karonga District,LOC,1
nyasatimes_64,Chiradzulu,GPE,4
nyasatimes_64,Malawi,PERSON,3
nyasatimes_64,South African,NORP,2
nyasatimes_64,Blantyre,GPE,2
nyasatimes_64,Sunday,DATE,2
nyasatimes_64,the Department of Disaster Management Affairs,ORG,2
nyasatimes_64,Chikwawa,ORG,2
nyasatimes_64,Zomba,PERSON,2
nyasatimes_64,Mulanje,PERSON,2
nyasatimes_64,Mussa,ORG,2
nyasatimes_64,South Africa,GPE,1
nyasatimes_64,Peter Mutharika,PERSON,1
nyasatimes_64,Malawi,ORG,1
nyasatimes_64,Chileka Airport,FAC,1
nyasatimes_64,afternoon,TIME,1
nyasatimes_64,Mutharika,GPE,1
nyasatimes_64,Malawians,NORP,1
nyasatimes_64,2015/2016,DATE,1
nyasatimes_64,Llyold Muhara,PERSON,1
nyasatimes_64,28,CARDINAL,1
nyasatimes_64,Chipiliro Khamula,PERSON,1
nyasatimes_64,Malawi’s Department of Disaster Management,ORG,1
nyasatimes_64,the Ministry of Homeland Security,ORG,1
nyasatimes_64,Machinga,GPE,1
nyasatimes_64,Nsanje,ORG,1
nyasatimes_64,Thyolo,GPE,1
nyasatimes_64,Neno,GPE,1
nyasatimes_64,Mwanza,ORG,1
nyasatimes_64,Dedza,ORG,1
nyasatimes_64,Balaka,GPE,1
nyasatimes_64,Mangochi,GPE,1
nyasatimes_64,Over 22,000,CARDINAL,1
nyasatimes_64,DoDMA,ORG,1
nyasatimes_64,the Malawi Defence Force,ORG,1
nyasatimes_64,Henry Mussa,PERSON,1
nyasatimes_64,Parliamentarian,NORP,1
nyasatimes_64,Monday,DATE,1
nyasatimes_64,3000,CARDINAL,1
nyasatimes_64,3,019,CARDINAL,1
nyasatimes_64,Nicholas Dausi,PERSON,1
nyasatimes_70,Mutharika,GPE,3
nyasatimes_70,Kaleso,ORG,3
nyasatimes_70,Traditional Authority,ORG,2
nyasatimes_70,Phalombe,GPE,2
nyasatimes_70,Malawi,PERSON,2
nyasatimes_70,South Africa,GPE,2
nyasatimes_70,Peter Mutharika,PERSON,1
nyasatimes_70,Saturday,DATE,1
nyasatimes_70,Mileme Primary School,ORG,1
nyasatimes_70,last week,DATE,1
nyasatimes_70,the Ministry of Lands, Housing and Urban Development,ORG,1
nyasatimes_70,the Decent and Affordable Housing Subsidy Programme,ORG,1
nyasatimes_70,Cement,ORG,1
nyasatimes_70,Malata Subsidy,PERSON,1
nyasatimes_70,Africa,LOC,1
nyasatimes_70,the United Nations,ORG,1
nyasatimes_70,Commission of Enquiry,ORG,1
nyasatimes_70,this week,DATE,1
nyasatimes_70,the Supreme Court of Appeal,ORG,1
nyasatimes_70,Malawian,NORP,1
nyasatimes_70,America,GPE,1
nyasatimes_70,“The US Government,ORG,1
nyasatimes_70,K146 million,CARDINAL,1
nyasatimes_70,one,CARDINAL,1
nyasatimes_70,18,CARDINAL,1
nyasatimes_70,Malawi Red Cross Society,ORG,1
nyasatimes_70,Sawa Group,ORG,1
nyasatimes_70,the Indian Community,ORG,1
nyasatimes_70,At least 21,CARDINAL,1
nyasatimes_70,870,CARDINAL,1
nyasatimes_70,96,CARDINAL,1
nyasatimes_70,026,CARDINAL,1
nyasatimes_70,Jenala,PERSON,1
nyasatimes_70,Malawians,NORP,1
nyasatimes_58,Ben Phiri,PERSON,2
nyasatimes_58,Phiri,ORG,2
nyasatimes_58,one,CARDINAL,2
nyasatimes_58,Phiri,PERSON,2
nyasatimes_58,Saturday,DATE,1
nyasatimes_58,Malawi,PERSON,1
nyasatimes_58,56,CARDINAL,1
nyasatimes_58,577,CARDINAL,1
nyasatimes_58,three,CARDINAL,1
nyasatimes_58,184,589,CARDINAL,1
nyasatimes_58,16,545,CARDINAL,1
nyasatimes_58,Khonjeni,PERSON,1
nyasatimes_58,Chilammwera,PERSON,1
nyasatimes_58,Malawians,NORP,1
nyasatimes_58,the Democratic Progressive Party,ORG,1
nyasatimes_58,DPP).He,ORG,1
nyasatimes_58,almost 1400,CARDINAL,1
nyasatimes_58,Group Village Head,ORG,1
nyasatimes_58,GVH,ORG,1
nyasatimes_58,Nkolokosa of Nkolokosa 1,ORG,1
nyasatimes_58,2,CARDINAL,1
nyasatimes_58,3,CARDINAL,1
nyasatimes_58,Mchilamwera,PERSON,1
nyasatimes_58,about 106,CARDINAL,1
nyasatimes_58,first,ORDINAL,1
nyasatimes_58,GVH Makombe,PERSON,1
nyasatimes_58,Khonjeni,NORP,1
nyasatimes_58,Traditional Authority Kapiti,ORG,1
nyasatimes_58,Alesi Liston,PERSON,1
nyasatimes_58,20,DATE,1
malawi24_133,MCP,ORG,4
malawi24_133,Malawians,NORP,3
malawi24_133,first,ORDINAL,2
malawi24_133,Malawi Congress Party,ORG,1
malawi24_133,Lazarus Chakwera,PERSON,1
malawi24_133,Ready and Steady,WORK_OF_ART,1
malawi24_133,Crossroads Hotel,FAC,1
malawi24_133,Lilongwe,GPE,1
malawi24_133,K3 million,CARDINAL,1
malawi24_133,Chakwera,PERSON,1
malawi24_133,Nsanje,ORG,1
malawi24_133,Chikwawa,GPE,1
malawi24_133,Neno,ORG,1
malawi24_133,Balaka,GPE,1
malawi24_133,Mangochi,GPE,1
malawi24_133,Mkaka,PERSON,1
malawi24_133,May 21.He,DATE,1
malawi24_133,Agriculture Development Bank,ORG,1
malawi24_133,Masintha Ground,FAC,1
times.mw_67,two,CARDINAL,4
times.mw_67,House,ORG,1
times.mw_67,2,CARDINAL,1
times.mw_67,Yohane Symon,PERSON,1
times.mw_67,Two,CARDINAL,1
times.mw_67,Mangochi District,LOC,1
times.mw_67,Saturday,DATE,1
times.mw_67,night,TIME,1
times.mw_67,Mangochi District Commissioner,LOC,1
times.mw_67,53-year-old,DATE,1
times.mw_67,six-year-old,DATE,1
times.mw_67,Rose Ayami,PERSON,1
times.mw_67,Msinje Village,GPE,1
times.mw_67,Traditional Authority,ORG,1
times.mw_67,19,CARDINAL,1
times.mw_67,November 2018.“It,DATE,1
times.mw_67,one,CARDINAL,1
times.mw_67,Chimphepo,ORG,1
times.mw_67,Koche Health Centre,ORG,1
times.mw_67,Homeland Security,ORG,1
times.mw_67,Nicholas Dausi,PERSON,1
times.mw_67,Disaster Management Affairs,ORG,1
times.mw_67,Last week,DATE,1
times.mw_67,over 176,CARDINAL,1
malawi24_20,the decades,DATE,2
malawi24_20,Malawi,ORG,2
malawi24_20,billions,CARDINAL,2
malawi24_20,Nsanje,NORP,1
malawi24_20,years,DATE,1
malawi24_20,Malawi,PERSON,1
malawi24_20,This year,DATE,1
malawi24_20,56,CARDINAL,1
malawi24_20,2012,DATE,1
malawi24_20,10,CARDINAL,1
malawi24_20,3million,MONEY,1
malawi24_20,2015,DATE,1
malawi24_20,1,CARDINAL,1
malawi24_20,101,CARDINAL,1
malawi24_20,264,CARDINAL,1
malawi24_20,230,CARDINAL,1
malawi24_20,000,CARDINAL,1
malawi24_20,over 170,CARDINAL,1
malawi24_20,172,CARDINAL,1
malawi24_20,$335 million,MONEY,1
malawi24_20,$494 million,MONEY,1
malawi24_20,this year,DATE,1
malawi24_20,the Department of Meteorology and Climate Change,ORG,1
malawi24_20,Kwacha,ORG,1
malawi24_20,2018,DATE,1
malawi24_20,MK290 million,CARDINAL,1
malawi24_20,Shire River Basin Management Programme BRL,FAC,1
malawi24_20,823 meter,QUANTITY,1
malawi24_20,Nkhande,LOC,1
malawi24_20,Nsanje,GPE,1
malawi24_20,Saulos Chilima,PERSON,1
malawi24_20,Anati,NORP,1
malawi24_20,Each year,DATE,1
malawi24_20,Chikwawa,PERSON,1
malawi24_20,Nsanje,ORG,1
malawi24_20,Malawi Government,ORG,1
malawi24_20,Malawi,GPE,1
nyasatimes_66,World Vision Malawi,ORG,2
nyasatimes_66,K10,ORG,1
nyasatimes_66,Petroleum Importers Limited,ORG,1
nyasatimes_66,K10 million,CARDINAL,1
nyasatimes_66,PIL General,ORG,1
nyasatimes_66,Enwell Kadango,PERSON,1
nyasatimes_66,World Vision,ORG,1
nyasatimes_66,the past few weeks,DATE,1
nyasatimes_66,Malawians,NORP,1
nyasatimes_66,Operations,ORG,1
nyasatimes_66,Charles Chimombo,PERSON,1
nyasatimes_66,Mozambique,NORP,1
nyasatimes_66,Malawi,PERSON,1
nyasatimes_66,5 March,DATE,1
nyasatimes_66,75,CARDINAL,1
nyasatimes_66,56,CARDINAL,1
nyasatimes_66,577,CARDINAL,1
nyasatimes_66,Malawi,ORG,1
nyasatimes_72,Dausi,PERSON,4
nyasatimes_72,Lilongwe,GPE,2
nyasatimes_72,Lilongwe City Council,ORG,2
nyasatimes_72,Malawi,GPE,1
nyasatimes_72,Bridges,PERSON,1
nyasatimes_72,Chipasula,GPE,1
nyasatimes_72,Kawale,GPE,1
nyasatimes_72,Chidzanja,ORG,1
nyasatimes_72,Nicholas Dausi,PERSON,1
nyasatimes_72,Friday,DATE,1
nyasatimes_72,Lilongwe City,GPE,1
nyasatimes_72,30 metre,QUANTITY,1
nyasatimes_72,the Kawale River,LOC,1
nyasatimes_72,LilongweCity Council,ORG,1
nyasatimes_72,Charles Kalemba,PERSON,1
nyasatimes_72,Council,ORG,1
nyasatimes_72,the Council Disaster committee,ORG,1
nyasatimes_72,Two,CARDINAL,1
nyasatimes_72,Thursday,DATE,1
nyasatimes_72,afternoon,TIME,1
nyasatimes_72,176,CARDINAL,1
nyasatimes_72,20,CARDINAL,1
nyasatimes_99,Saturday,DATE,3
nyasatimes_99,one,CARDINAL,2
nyasatimes_99,Malawi,PERSON,2
nyasatimes_99,First,ORDINAL,2
nyasatimes_99,Mutharika,GPE,1
nyasatimes_99,Malawi,GPE,1
nyasatimes_99,Peter Mutharika,PERSON,1
nyasatimes_99,Malawians,NORP,1
nyasatimes_99,Nyambadwe Primary School,ORG,1
nyasatimes_99,South African,NORP,1
nyasatimes_99,25,CARDINAL,1
nyasatimes_99,Chileka International Airport,FAC,1
nyasatimes_99,Blantyre,GPE,1
nyasatimes_99,Chikwawa District,LOC,1
nyasatimes_99,Chinese,NORP,1
nyasatimes_99,American Government,ORG,1
nyasatimes_99,the next three months,DATE,1
nyasatimes_99,1,CARDINAL,1
nyasatimes_99,today,DATE,1
nyasatimes_99,Sanjika Palace,FAC,1
nyasatimes_99,the Decent and Affordable Housing Subsidy Programme,ORG,1
nyasatimes_99,Malata,ORG,1
nyasatimes_99,Cement Subsidy,PERSON,1
nyasatimes_99,Malawi,ORG,1
nyasatimes_99,Dedza,GPE,1
nyasatimes_99,Kampepuza,GPE,1
nyasatimes_99,Ntcheu,GPE,1
nyasatimes_99,Friday,DATE,1
nyasatimes_99,a minute,TIME,1
nyasatimes_99,One,CARDINAL,1
nyasatimes_99,Ndirande,ORG,1
nyasatimes_99,Maria Chikaphonya,PERSON,1
nyasatimes_99,Blantyre City Council,ORG,1
nyasatimes_99,Alfred Chanza,PERSON,1
nyasatimes_99,more than 52,CARDINAL,1
nyasatimes_99,Blantyre City,GPE,1
nyasatimes_99,Ndirande,EVENT,1
nyasatimes_99,Mutharika,PERSON,1
nyasatimes_99,15,CARDINAL,1
